	tweet_id	tweet_text
0	1254984299637547009	Coronavirus live updates Global cases cross 3 million mark The Times of India
1	1254984299679375361	is the most ever existed corrupt organization ever existed Can world expect single truth from
2	1254984300170182656	this is sad
3	1254984300224811008	Somali basketball legend Eng Bana Ali dies from COVID19 he was on the most well respected somali community in Lond
4	1254984300837195777	No way Not happening
5	1254984300849741827	rest easy
6	1254984301688520704	Al Sisi declares a 3 month state of emergency due to security and hygiene conditions CoronavirusPandemic
7	1254984301734739968	PM Modi Has Said Spike In COVID 19 Cases Can Happen In June July Chhattisgarh Health Minister
8	1254984303089537027	Trump s reference to good things
9	1254984304226177025	JaiMaaGanga Please try Gangajal to treat coronavirus patients as no virus can survive for long in Gangajal
10	1254984305748705281	Dr Daniel Erickson is questioning the effectiveness of going into lockdown to prevent the spread of coronavirus
11	1254984306264625152	Probably not Too broad an assertion likely to be wrong
12	1254984307052998657	Covid 19 is permanently shaking up the global outsourcing industry as lockdowns from Bangalore to Manila prompt fir
13	1254984307799621632	Us citizens ve low immunity they eat hypertizer food Processed while they condem nature they still
14	1254984310098100225	I can t believe it s closing
15	1254984310295351303	Labor unions accuse administration of failing to protect workers under coronavirus relief package
16	1254984310366654465	The Big Read Coronavirus apps the risk of slipping into a surveillance state
17	1254984311096279040	Pelosi you make me sick You get and F in the area of being a so called American You have one agenda destroy Ameri
18	1254984311322755072	Fox News dumps Diamond
19	1254984311499100160	Will the New York Labor Law Apply to Coronavirus Claims New York Law Journal
20	1254984311855513600	Yeah you sure can fit a lot of devil into those devils Kev
21	1254984311989624833	His brain DEFINITELY got tickled there
22	1254984314372026369	A vaccine will take up to 18 months to get here meanwhile covid 19 continues to spread like a fire in
23	1254984315932377091	I said to include covid 19 safe quote also there on CDP
24	1254984315970207745	Kenya KE Its okay to plagiarize ideas sometimes Please Plagiarize everything she
25	1254984317035520002	DOJ Seeks to Exploit Coronavirus Emergency to Detain People Indefinitely Truthout
26	1254984317270278145	Morelos
27	1254984317392076801	Somehow I got sucked into watching the Pandemic series on Netflix The one that dropped right when COVID19 appeared
28	1254984319363407872	Top New York City ER doctor commits suicide shaken by coronavirus onslaught Fox News
29	1254984320315506688	Oncology venture
