	tweet_id	tweet_text
0	1253172345973493761	USA Medical Research on COVID19
1	1253172346132692994	Donald the Dove
2	1253172346673717248	Central Banks Fire Bazooka at Coronavirus Will Gold Rally
3	1253172346703147008	If the richest country in the world cannot care for its hospital workers can t we at least protect their speech
4	1253172350196932611	Know where to go Before stepping out of your home on a lookout for essentials visit Get a
5	1253172350360719363	When you keep pretending a group of people do not even exist they have a way of reminding you of their worth and
6	1253172350482296832	is literally HITLER
7	1253172350511710208	WE ARE A LAND OF LAWS WHY ISNT SHE ARRESTED WE ARE SICK OF THIS POLITICIANS ARE NOT BEING PUNNISED FOR THIER CRIM
8	1253172350620545027	Yet again another symptom of this virus just recently discovered and now being studied by the medical community
9	1253172351669329920	Dem overseeing 2T in coronavirus funds accused of violating federal law requiring disclosure of stock sales Fox
10	1253172351874682881	City of Everett Washington Update Covid 19
11	1253172352453505024	Dear social distances ltimately the greatest lesson that COVID 19 can teach humanity is that w
12	1253172353972023296	This is actually really concerning Wheeler of reports on non essential medical services such as can
13	1253172354554793984	Lo Me No Not trying to get Coronavirus and infect my family
14	1253172354584203267	Therapeutic Innovation Australia launches an open call to support COVID 19 projects
15	1253172358195499008	CEO Defends Reopening Gyms by Falsely Claiming Coronavirus Can Be Cured With a Few Hundred Dollars Worth of Drugs
16	1253172358376030216	So sad
17	1253172359680471041	CompaniesThatCare JTIGroup committed to ensuring the financial well being of its employees during the COVID 19
18	1253172360242360320	The coronavirus is not the regular flu The deaths from it are not replacing the flu deaths they are in addition to it
19	1253172360242515969	CDC Works 24 7 via home many people die of covid19 wuhan comes from china virus in
20	1253172360594821122	Hey socent entrepreneurs here s a helpful overview of how to harness design thinking for innovation in these
21	1253172362519797761	Horrible stomach virus in November lasted over 2 weeks I live in Las Vegas also 2 of my neighbors came over one
22	1253172362679209984	A cheap over the counter oximeter device was my saving grace as I fought the coronavirus It can flag dangerous dow
23	1253172363199315969	COVID19 TELANGANA Case against student for cuss words against police
24	1253172363337793536	9 Mondal We don t do myths that are established facts Covid19 can be controlled but not prevented How con
25	1253172363484487680	That s because it is US is the richest third world country Trump s handling of COVID 19 makes US look like thir
26	1253172363551637504	i take it your not old
