	tweet_id	tweet_text
0	1254259099237101568	Just when I thought I couldn t ever love BradPitt MORE Now I m officially in love with him Bravo THANK
1	1254259099459440640	Global COVID 19 death toll lagpas 200K na
2	1254259099782516736	fancam 18 bts nct comeback kpop dom sub nsfw sex porn loona fancam blackpink exo dick nudes gain mutuals rt to j
3	1254259100881281025	It s about that but also But analysts have said that efforts to sharply boost charges on big shippers such as Am
4	1254259103859433472	There is no end in sight for coronavirus which disproportionately affects communities of color Help by donating
5	1254259105985728512	This is so profoundly dumb
6	1254259106795446276	I just read this article I hate to say it but it seems that even if the coronavirus dies down over the summer it
7	1254259108481503239	Coronavirus in Massachusetts In Chelsea Leaders Struggle to Separate the Sick From the Well
8	1254259108561240069	The governments who are succeeding in addressing covid19 realize this is a natural disaster Not a tempora
9	1254259109081178112	Discussion points include Syngene s approach to integrated drug development what Syngene has to offer in
10	1254259109219700736	ALL ABOUT POSITIVITY We SALUTE and THANK YOU CORONAVIRUS WAREIORS YOUR HARD WORK amp EFFORTS WON T GO UNNOTI
11	1254259110838763523	more news gt news coronavirus secretary weighing replace service plan
12	1254259110960230406	ICMR s 9 am updates now only tell the total number of samples tested 6 25 309 till date COVID19
13	1254259111228776449	They aim to visit and send out food and refreshments to more hospitals and checkpoints in the coming days GoodRap
14	1254259111513874433	Decriminalize drugs
15	1254259113766211585	KAFIR PREPARING TO END THEIR GAME Learn from history
16	1254259114043195396	Seriously He says testing everyone for covid19 every day and they can wear badges
17	1254259115658010624	I can t say this strongly enough FUCK the idea of bailing out the fossil fuel industry and FUCK anyone who thinks
18	1254259116022927366	Italian Government to Investigate Nursing Homes on Manslaughter Charges after 40 of Coronavirus Deaths Occurred in
19	1254259116069072896	Coronavirus Has Sweden got its science right CLICK to read Virus BREAKING Live Ne
20	1254259116303736832	Covid 19 donations Isolating sharks from the Good Samaritans
21	1254259116962430976	Coronavirus live updates Singapore reports 618 new cases Boris Johnson to return to work Monday CNBC
22	1254259119931998210	Ramadan Muslims fast under coronavirus lockdowns BBC News
23	1254259120019918849	Victoria s coronavirus death toll has risen to 17 after a man in his 90s died PerthNow via
24	1254259120414306307	In An Emotional Interview Donald Trump Vehemently Denies Believing Everything He Sees On TV is Real he also boasts
25	1254259120837812224	GA salon owners thrilled to reopen as state eases coronavirus restrictions on businesses India Gone Viral
26	1254259121404039170	WE WANT JUSTICE
27	1254259122620563458	Third worker at Garry J Armstrong long term care home tests positive for COVID 19
28	1254259122658111488	Task distribution April 24 2020 A research group has developed an assay for screening of COVID19 through swabs
29	1254259123060793345	I shall drive my car alone and bring him back Shall follow all lockdown rules Please help me I have applied on M
30	1254259212256972801	In four U S state prisons nearly 3 300 inmates test positive for coronavirus 96 without symptoms
31	1254259212789542914	I m so sick of this racist administration What s it going 2 take 2 make them see that these R people real fucking
32	1254259212965883910	DDP Ribs Jake Roberts About Having High Temperature During Coronavirus Pandemic
33	1254259212974243843	New Podcast Emergency broadcast Pt1 The US government is getting ready to go to war with China Causing WW3
34	1254259213116887040	Magufuli declares 3 days of prayer to defeat COVID 19 in Tanzania
35	1254259213301415937	Just irresponsible and selfish people
36	1254259213368307712	I m with on this even though not your state as part of
37	1254259213947330560	com Finally has been hit with the realisation that the Coronavirus media briefings in which he
38	1254259214815559680	Period BEST FRIEND
39	1254259216581226498	NZ and Australia praised by New York Times for showing the way in Covid 19 battle
40	1254259216824569857	I knew that I watched you she had nothing but the look of fear and terror on her face while you spoke maybe voic
41	1254259217235574790	Real Housewives of Potomac Season 5 Premiere Pushed To Summer Due To Coronavirus
42	1254259217466179586	How HIV present in ppl s body killed ppl before HIV drugs were developed HIV attacks e helper T cells
43	1254259217633968129	I realize my experience proves nothing but I have 4 friends who were hospitalized and put on ventil
44	1254259218326130689	You stupid cow
45	1254259220146384897	That was March 19 and again where does it say we cannot go to an open beach
46	1254259220347641856	Iran s corruption may block IMF coronavirus aid via
47	1254259220410765313	This is an amazing and accurate article for those of us juggling Well done via
48	1254259220494589964	Zamzam Ali becomes the first medic to die from covid19 in Somalia Zamzam was working with Somalia amp Kalkaal S
49	1254259221698359296	To the guy that ate bat soup you ruined my senior year COVID19
50	1254259222356738054	However medical professionals disagree with several of her tactics for managing COVID 19 symptoms which range fr
51	1254259224265330688	Over 26 000 Coronavirus Cases In India Biggest Jump In 24 Hours
52	1254259224302874624	If NORTH KOREA has a woman leader before the USA we re all going to to tell all the Trump supporters that drink
53	1254259224311455744	TrinidadandTobago Covid 19 Update 138
54	1254259225179668480	People on my FB are claiming that a lot of deaths attributed to covid 19 are falsely r
55	1254259225309720576	as the Chief ur job is 2 protect d rights of all individuals especially d most venerable
56	1254259225922088966	All these protesters look the same ijs COVID19 protests Antilockdown TheseWhiteFolksCrazy
57	1254259226077265922	WORLD ENTERTAINMENT GIST CORONAVIRUS CASES IN RUSSIA
