	tweet_id	tweet_text
0	1266883293523345409	Good ventilators are fun
1	1266883295037534209	Raping and brutalizing the population You mean COVID 19
2	1266883296878878724	True
3	1266883297369567234	Australia s COVID 19 restrictions came just in time to avert disaster with new modelling showing waiting just one
4	1266883297436749828	Wonder how the Covid19 pandemic is going to look after all this mess
5	1266883298397237248	I don t know why this year 2020 is an issue January and February were fine Then March came with this whole corona
6	1266883299873419265	What an idiot Thank God for adults in the room like Justice Roberts
7	1266883302075641856	The active cases represents 0 066436094339254 of the entire population of the coronavirus wow COVID19
8	1266883302616694785	The day Cheltenham Festival started in March there were just 52 new cases in the UK It lead to an inc
9	1266883302952177665	The estimated R value in Brighton and Hove on Monday was 1 68 What a great time to ease a lockdown
10	1266883304139218944	And soon Mexico will be paying for the wall and soon the Coronavirus will just disappear and soon a uni
11	1266883305443557380	The World Is Still Far From Herd Immunity for Coronavirus
12	1266883306043379719	My Sat column on Pentecost amp the concept of jubilee in this time of coronavirus restrictions
13	1266883306068619264	WAR ON ERROR
14	1266883306072805377	we re protesting because we are sick of tired of innocent black lives taken away because of
15	1266883306907242497	Hidden Video and Whistleblower Reveal Gruesome Mass Extermination Method for Iowa Pigs Amid Pandemic SmartNews
16	1266883307146338304	Medium Season 6 Episode 10 essentially predicted COVID19
17	1266883308773761024	If by a stroke of un luck the local coronavirus situation worsens beyond the capacity of my privileges to save me
18	1266883311005315072	Thanks for a safe flight from CIU to MSP Everyone at Delta did everything possible to keep us safe
19	1266883313228275713	Remember No One Is Coming to Save Us
20	1266883315098738688	We tried BarackObama Hope and CHANGE none came he bombed same as GeorgeBush so how can JoeBiden who writes
21	1266883317338497026	Higher initial dose is worse for everyone in those with a compromised immune system due to some co morbidity incl
22	1266883317984407552	These riots are just creating a distraction from COVID19
23	1266883318441816064	Seeing the Scene in NY is unreal the coronavirus must not be a thing anymore
24	1266883324812898304	True
25	1266883326176104448	Donald we watched you say ZERO you didn t even call the family until Biden did and we
26	1266883326314496000	U S CDC reports total of 1 737 950 coronavirus cases 102 785 deaths
27	1266883328566857729	So Covid 19 Just Vanished All Of A Sudden Sum Ain t Right
