	tweet_id	tweet_text
0	1265070379728601088	Hope the judge throws the book at him
1	1265070379829276676	Steve Hilton There won t be a coronavirus recovery unless we reopen schools now
2	1265070380210958336	The Department of Health has made a video available for Allied Health professionals about the use of personal prote
3	1265070380265410563	I m convinced that Alberta is just a level of hell that passes itself as a land of the living
4	1265070380311547905	I wish coronavirus sent us all an email hoping its finding us well so we could respond with a firm No
5	1265070380768735232	clearly they died of sudden onset of coronavirus while trying to have something we used to call fun in the old days
6	1265070381452406786	Covid 19 coronavirus Grieving Aussie based dad s battle to farewell his little spark
7	1265070381544726529	Forgive them the mockers Father for they know not what they do Clueless vigilantes shaming a customer in a groc
8	1265070382387691525	Here is a column I wrote about light at the end of the no sports tunnel
9	1265070383029510149	We got the least but we are also smaller doubt we re getting out june 8th
10	1265070383109156865	China is not to blame for the coronavirus Americas response to the coronavirus is the problem No response at all
11	1265070383243259905	And how many more TESTS have been done
12	1265070383583113216	Sunlight kills the virus
13	1265070385256714241	U S marks hushed Memorial Day holiday as COVID 19 deaths near 100 000
14	1265070386271727616	19 people in Chicago died this week from Covid 19 related gunshot wounds They will be voting by mail
15	1265070387626418178	I have these days even in the midst of the COVID19 lockdown but long predating it when I just can t bring myself
16	1265070388398047233	Study Regular Handwashing Reduces Personal Risk of Acquiring Seasonal Coronavirus Infection
17	1265070389157298177	It had it s moments Peyton was hu larious
18	1265070390260293632	Schools are safe Scott Morrison told us they are auspol
19	1265070390646394882	There is no magic in pants My first ever disagreement with Mr Philip Galanes
20	1265070391065804803	Humble Beginnings for the Latest Addition to Calgary Coffee todayville
21	1265070391292301313	It s amazing how much coronavirus doesn t exist today
22	1265070391715823618	The truth is your regime did a poor job of responding to Covid19 amp instead of acknowledging the 100k people lost
23	1265070393238446091	Scientists hunt for genetic key to virus vulnerability COVID19 Science COVID19Research
24	1265070393494142982	Watch Maharashtra teacher s 20 second handwash routine to raise awareness about Covid 19
25	1265070393498333184	Coronavirus Australia One in five Australians can t support their families FRSA FRSAnews
26	1265070394190426113	16 March 2020 a two page list from the whitehouse entitled 15 days to stop the spread
27	1265070395281080320	has designed a personal protective suit which could offer people a way of safely gathering and pa
28	1265070395645984769	This is why i tweet anything Post modern post Christian absurdity makes conversation disappear
29	1265070397101228032	Somehow I think dumb tweets don t rank in the same category as putting infected COVID 19 pati
30	1265070398447681538	The COVID 19 pandemic has caused a rapid transition to online education and distance learning In today s blog we t
31	1265070402427998208	What about the side effects of chemo radiation drug addiction
32	1265070404114268160	The Experts Lied Children in England Under 15 Are 4 Times More Likely to be Struck by Lightning than Die of COVID
33	1265070404202377216	I tend to trust public Trump is different than fighting for us behind the scenes Trump If I m wrong it ll get ugl
34	1265070406064578563	C Patriot hi from Tonkawa Oklahoma Can you find out exactly how many people actually died of covid 19 and
35	1265070406312042497	745 of these people will be counted as COVID 19 deaths and half of that 1265 will be people under the age of 20 I m sure
36	1265070406484008968	COVID 19 is a scam We must all wake up now
