	tweet_id	tweet_text
0	1256796518176227328	COVID19 might have slowed things down but let s not forget fast amp furious strike rate of in T20I s 156 44
1	1256796521724628992	COVID ALERT China s Exploiting The COVID 19 Pandemic To Expand In Asia Global Pandemic News Coronavirus
2	1256796522269687809	THIS is who is RECEIVING the Small Business Relief They are Killing Us
3	1256796522638979074	Wait until 2 3 weeks from today
4	1256796522831724544	Sir as a citizen of this mathru bhoomi I appreciate your hard and meticulous work being discharged during the cov
5	1256796523100205056	How about Insane in the membrane She s a sociopath sociopath s s paTH NOUN a person with a personality d
6	1256796523154767872	Covid 19 lockdown Over 800 UP migrant labourers reach Lucknow in a special train from Nashik via India News Lat
7	1256796524887126017	Balmy Weekend Presents a Challenge New Yorkers Rushing to Parks
8	1256796525356777475	Exactly
9	1256796525532864512	Strategy to solve Covid19 in several countries Distract people by talking about insert hot issues That way peo
10	1256796526048948224	I miss watching The Nanny on TV Love
11	1256796526585581573	vietnam has been killing it so far with how its dealing with covid19 it has had no deaths and has most testing cas
12	1256796527743438848	German court Keeping large stores closed unconstitutional COVID 19 Europe
13	1256796528041025537	proctor17 Hi Dave Literally saw an INSTA post of silly human activities during COVID19
14	1256796528825548801	SHE SAIDDD PERIOD Stop fuckin w Auntie
15	1256796528901046272	Coronavirus latest updates Doctors nurses go out of their way to connect patients to families via India News L
16	1256796528980774912	Warren Buffett says the coronavirus cannot stop America or Berkshire Hathaway VIXC LatestComments
17	1256796529706270722	COVID19 Update Total 39 980 Active 28046 Discharged 10 633 Deaths 1 301
18	1256796531266486274	Silly that they weren t prior to
19	1256796531576848384	Large supply and low demand This should be lower virus coronavirus Vegas Nevada SinCity Fuel gas
20	1256796532201811968	Why would anyone go one on a 14Day quarantine vacation We know they are breaking quarantine COVIDIDIOTS
21	1256796533959340033	May 3 8 AM update MoHFW 39 980 COVID 19 positive cases as on date 2 644 new cases in 24 hours 10 63
22	1256796535037333506	Give People Back Their G damn Freedom Tesla CEO Elon Musk Slams Fascist Coronavirus Stay At Home Orders
23	1256796537260109824	Bullshit AMD in the meantime illegal roadblocks by people breaking the rules themselves
24	1256796537721466881	The Tenth Amendment and the Resurrection of States Rights in the Age of Coronavirus JD Supra
25	1256796539391000578	DC Maryland Virginia See Spike in New Coronavirus Cases Covid 19 coronavirusDC
26	1256796539810230272	Trump ripped for late night removal of watchdog who reported his COVID 19 failures Another Friday night assassina
27	1256796541689438209	Covid 19 I hate u
28	1256796542821789701	Dr Buttar Accuses Fauci Gates amp The Media For Using COVID 19 To Drive H via
29	1256796545447534592	hello if you re in school and doing not as well due to stress or a messed up schedule from covid19 I want to remind
30	1256796545787322370	This is a bold face lie Those 65K deaths are confirmed COVID19 They don t incl
31	1256796545875206144	Vitamin D and upper respiratory Could Vitamin D assist with COVID 19 recovery Address from last
32	1256796546202578944	After binge watching Counterpart again again The whole Flu pandemic plot is sorta freaky and prescient Also
33	1256796546332594178	I d like to share with you the First Lady of Liberia and Ambassador of Merck more than a Mother H E Claire Weah s
