	tweet_id	tweet_text
0	1252085779217682432	Homeboy teeth told me everything I need to know about these protestors
1	1252085780136198149	Transpo When the Lockdown is lifted I m definitely trying to catch one of your buse
2	1252085781411184642	Things need to change after COVID19 The virus came from an animal food source like a lot of them do It s time
3	1252085782808068097	I m TIRED Of GOP SUPPORTERS Who STILL DEFEND DONALD STFU There s NO EXCUSE No Rationalisation NOTHING CAN MAKE
4	1252085782883364865	Dear Muslims You do not actually have to go to a mosque to pray not even during Ramadan Ramadan
5	1252085783072247809	Disgraceful When shes sick and dying from covid 19 those nurses will not be honking horns acting like ru
6	1252085783357542400	Using Trump s playbook but Government s rebuttal fails to convince and rings hollow
7	1252085783487320064	Yes please
8	1252085783680430080	Covid 19 Help Explaining the Corona Virus to Kids
9	1252085785601306625	Check out our latest newsletter via the link below This edition includes articles about businessvaluation during
10	1252085786012381184	I ve been wondering about this very thing
11	1252085787295956993	Like Germany the United States will sue China for this Covid19 abominati
12	1252085787472080896	Heartbreaking
13	1252085787602169857	My dad is calling me telling me family members who have had nothing to do with me my entire life are dead like I
14	1252085787665084416	India will do it
15	1252085788243869696	Yeah it s been tough with this Coronavirus but we ll get through this I try to think positive
16	1252085788847767552	I m sure you can google too but
17	1252085790626193409	Saudi authorities recommends home prayers in Ramadan Let s see if Indian muxl ms will adhere to these guidelines
18	1252085791473442817	Can we all compel Yahaya Bello to run Covid 19 tests in Kogi with this hash tag BelloRunTests This has nothing to
19	1252085791804792832	my daughter asks me every day to go to the park and i hate that i cant bring her because of covid 19
20	1252085792429666306	covid19aus Face masks are not recommended for the general population aus govt advice for you at work just how s
21	1252085792760926210	Perhaps people around the world can seek refuge in Taiwan Taiwan seems immune to COVID pandemic My hunch tells
22	1252085794598256640	Hi Africa
23	1252085795206422528	it will disappear one day like a miracle
24	1252085795445497856	CNN reports 41k people in the U S have died from coronavirus Is this number
25	1252085795974000651	Disgusting Harvard University has a 40 BILLION dollar endowment that they re sitting on yet they are taking 9
26	1252085795999174656	Coronavirus Buyout giants to get lifeline from new loan scheme Business News Sky News
27	1252085797223673856	East Coast Railway converts 261 coaches into coronavirus COVID 19 isolation wards
28	1252085799698432001	Limits on take away alcohol sales introduced in WA in response to the COVID 19 pandemic have been lifted effect
29	1252085878798708736	With no good answer for his lost month of coronavirus preparation Trump snaps at another female reporter
30	1252085880044482562	So look here you numpty anti lockdown protestors in the USA if pelicans can walk the streets of Cape Town kangaro
31	1252085880132497409	How ridiculous Barilaro is running the show
32	1252085880375742465	says NZ covid19 transmission rate is 0 48 country has lowest infection rate per 100K people
33	1252085880736698371	sorry all of my accounts havent been so active coronavirus is not making me in the mood at all for twitter love you al lt 3
34	1252085882661695488	People have been awakened seeking Covid 19 answers in Wuhan
35	1252085884020830208	Coronavirus Humanity will overcome pandemic says PM Narendra Modi as he hails ministries for helping people in lo
