	tweet_id	tweet_text
0	1245924102021345281	Working from home less pants coronavirus socialdistancing
1	1245924102038106115	Noooo fucken way
2	1245924102159757316	Coronavirus President Trump Warns Americans to Prepare for Painful Two Weeks Ahead
3	1245924102285570049	Whats the interest rate What would be the impact on our Fiscal Deficit IndianGovt already received crores
4	1245924102767906817	I m sending you Rest is important and I hope they will get you the care you need immediately
5	1245924102927314948	How will it help our Doctors who are fighting corona virus without PPE glasses mask and other essential equipme
6	1245924104034594819	UCL was the First to Admit Female Students on the Same Campus as Men Internationaleducation studentlife university
7	1245924105825574915	The whole world should Keep all differences on the side and fight together to save humanity to kill
8	1245924106182131712	Historically businesstravel is one of the first industries to recover from global interruptions and we will be
9	1245924106199072768	I ve muted every version I could think of of covid 19 and this shit STILL showing up on my TL
10	1245924106257567749	Brea 2 Brea police officers and 1 civilain employee infected with coronavirus
11	1245924106299535362	Solid advice from our DPO
12	1245924106593169409	Covid 19 stimulus package and Dentistry
13	1245924106752544769	Some JIHADIS don t want India to be get rid of COVID 19 Nizamuddin a big conspiracy
14	1245924107088097281	Publix now accepts Google and Apple Pay to help stop spread of coronavirus
15	1245924107193024512	I hope Chris has the guts to send this directly to Jeff
16	1245924110355419138	He is a waste of human proto plasm
17	1245924110464454656	And how are you going to send troops with half the navy being infected with coronavirus DumpTrump2020
18	1245924110812635136	UNESCO has just declared the Modi s idea of lighting diya in night as the best idea to fight Coronavirus Proud of
19	1245924111022354433	The Values and Dangers of Folklore during a Global Pandemic covid19
20	1245924111324348416	Plz Remeber this time we have to stay in our balconies and not to roam around in our colonies like street dogs I
21	1245924111383031813	Let me find out the Fed Government is doing Body Bag shopping off Amazon
22	1245924111659892736	Coronavirus pandemic Face mask not enough to protect from COVID 19 White House
23	1245924114256130051	every single person in NY who dies gasping when they run out of ventilators that blood is on Kushner s hands
24	1245924114432282625	alfar Sorry to hear this Mohannad To find out what support is available visit Servic
25	1245924114780557312	I hope everyone is doing well I m going crazy not being able to work and create beautiful hair I will contact eve
26	1245924114893647874	Italian man allegedly kills girlfriend over virus
27	1245924114948182017	Sen Loeffler sold at least 18M more in stocks than previously reported
28	1245924114956718080	Names of the people arrested in Indore for pelting stones at health officials who had
29	1245924115166289921	Bodies pile up on streets in Ecuador as coronavirus spreads CBS News
30	1245924115204063232	how about this Don t think it is KLEPTOCRAT
31	1245924115321696256	We had a very very brief mention of the privatization of testing in the US for covid19 among friends today This
32	1245924115329855488	Edge AEW vs NXT WWE Videos Maria Manic Dynamite Flair Kevin Sullivan COVID 19 Friday s Latest Wrestling N
33	1245924117892612097	As Tekashi69 Is Released Inmates Fearing Coronavirus Ask Why Not Me The New York Times
34	1245924118341521408	Help Me pets animals animal cats doglover puppies kitty dogoftheday kitten
35	1245924118538506246	I support Gov
36	1245924118760837120	Coronavirus The War of Withdrawal
37	1245924119079571459	Twitter Provides Tips on How Brands Can Connect with Their Audiences Amid the COVID 19 Pandemic socialmedia
38	1245924119427702792	Birx Because of China We Didn t Know How Contagious Coronavirus Is
39	1245924119427706881	TripleH Doesn t Think Things Will Get Back to Normal After Coronavirus Talks WrestleMania 36 Creativity WWE P
40	1245924119545167875	I love how every business who has my email is there for me during this COVID19 crisis ready to sell me unnecessa
41	1245924119603900417	no13 Yes Trump is a narcissist Notoriously
42	1245924119771635712	Chief medical officer Professor Brendan Murphy has refused to say whether he trusts the figures coming out of China
43	1245924121935933440	Trump s Mocked Coronavirus Drug Suggestion Seemingly Effective After All
44	1245924122904780807	United States Attorney William D Hyslop Announces Efforts to Combat Covid 19 Scams The U S Department of Justice
45	1245924123638992896	That covid 19 pic gives me goosebumps smh
46	1245924123685146624	Inappropriate Doctors warned against prescribing unproven COVID 19 treatments
47	1245924126180573190	Revising back to Basics during Corona Virus COVID 19 lock down gt year 2020 TC ECC SA S1 C1 V3 P6 TOPTRONIC
48	1245924126969085954	Silver linings during the coronavirus quarantine tags delhi covid19 mentalhealthsupport mentalhealthwarrior
49	1245924127115890688	PMModi message to nation over coronavirus india pandemic TV9
50	1245924127606583297	France converts part of world s largest wholesale food market into temporary morgue amid coronavirus pandemic Fox
51	1245924127732453379	Australia s health system capable of managing coronavirus pandemic prime minister
52	1245924127765979137	Coronavirus pandemic Samsung Electronics shuts US factory after 2 workers test positive of COVID 19
53	1245924127799533568	Received any pseudo scientific forwards on WhatsApp yet about how small flames will eradicate Coronavirus
54	1245924127971495937	BREAKING New York Data Confirms Once Again 99 of Coronavirus Fatalities Have Pre Existing Conditions 94 of F
55	1245924130886529026	Why Trump tried to use the coronavirus crisis to spike tensions at the U S Canada border v
56	1245924131096236033	This fucking douchebag is NOT corporate This fucker wouldn t survive 5 fucking minutes in a real corporation He
57	1245924131675066368	First make the medical field sprit to work hard to face CORONAVIRUS VICTIMS pushing their life in RIS
58	1245924131729620999	Australia closes internal borders as unsourced coronavirus cases rise
59	1245924132241301504	Coronavirus pandemic Third COVID 19 case found in Mumbai 39 s Dharavi
60	1245924135445782529	love existing in this time and not being able to be sure if i am feverish or i m just warm have shortness of br
61	1245924135668080644	The coronavirus will not be able with the children of God IN JESUS NAME AM N
62	1245924136402083840	Their motto is to spread coronavirus Thus it is useless to make emotional appeal to those anti hu
63	1245924138625019905	Now spinning Bloody fantastic album Great production from Jerry Harrison Talking Heads vinyl 1993 90s
64	1245924138826358784	How NBA players are handling mental health issue during coronavirus crisis
65	1245924139438870530	Malaysia government sparks outrage after a series of online posters with the hashtag WomenPreventCOVID19 telling
66	1245924139560402944	Even Coronavirus is scared of cops
67	1245924140290174977	How contemplation can lead to peace during the COVID 19 crisis
68	1245924140382474244	Hospitals me bhi lights band rahegi kya ModiVideoMessage CoronavirusPandemic
69	1245924140554416128	Dear Modiji Please consider licensing Abbott Labs technology for 10 minutes testing for Covid 19 at whatever cost
70	1245924140558606341	Group of Local Vigilantes Try to Forcibly Quarantine Out of Towners Officials Say
71	1245924140747378700	Lifesaver or false protection do face masks stop coronavirus
72	1245924140848009220	Top tips from investment chiefs on navigating the coronavirus crash
73	1245924140961247234	Still trust the Dems to be in charge Hope the Democrats and fake news dont get duped again
74	1245924143356203008	strikes a deal with for fixing KC46 tankers and releases 882 million in held back p
75	1245924144107024385	Our webinar on understanding implementations and preparedness to support COVID 19 which will be hosted by our Foun
76	1245924144136454144	dude I would like to bring some hope but you guys can t stop willingly sinning Plus Anderson you let Chris
77	1245924144283144199	Fujifilm says new coronavirus test can produce results in two hours jakpostlife
78	1245924145059291136	Staying protected in North Carolina mask covid19 masks Sea Nola Designs LLC
79	1245924148225794054	LV 8 New York Latest City to Urge People to Cover Their Faces Time
80	1245924148322467840	Maybe he s just getting old and sick
81	1245924148364234754	More negativity from Pravda I suppose they put him in infected jails and took his ss check for a fine
82	1245924148724953094	Ken Griffin has Balls in His Money Clip Florida
83	1245924148796256261	UN issues its first coronavirus resolution as global cases surpass 1 million politics news world USA
84	1245924148829925376	Can someone remind Health Minister Patty Hajdu THAT BASED ON A COMPUTER MODEL SHE ALREADY PROJECTED THREE WEEKS AGO
85	1245924149194874880	Kushner has embedded his own people in the Federal Emergency Management Agency a senior official described them
86	1245924149450534913	Should all Americans be wearing face masks to protect against coronavirus These scientists say yes
87	1245924152369790976	Italian Medic Strangled by Boyfriend Who Thought She Gave Him Coronavirus Reports
88	1245924152407539715	They muslims in India follow law rather than fatwa to act responsibly that day only that day India will be secular
89	1245924152898445312	The experts screwed up when they told young people that they were much less likely to die of coronavirus
90	1245924153166688256	this pandemic has never been about whether or not we was gonna get the coronavirus or not cuz most of us in america
91	1245924156408913920	Delhi Police commissioner s 5 mantras to overcome Covid 19 pandemic
92	1245924156790710273	How about switching off all lights lighting candles at 9 pm on April 5 And doing a press conference on coronavir
93	1245924156908007425	E What ever chemical strain COVID 19 ejects or consumes in it s early embryonic stage is key on d gr
94	1245924156945780744	No Live Sports on TV Consumers Want a Refund
95	1245924157646225414	The cramped quarters of an aircraft carrier are more vulnerable than a cruise ship to the coronavirus via
96	1245924157839142913	Low income people qualify for Medicaid If any low income person seeks COVID 19 testing or treatment t
97	1245924160481591298	FBI charge man who allegedly tried selling masks at 700 per cent markup
98	1245924160506753031	Very Important Announcement I request all of you to switch off all the lights of your house on 5th April at 9 PM
99	1245924161387556871	A million
100	1245924161404284928	Doubling every three days And this is REPORTED deaths
101	1245924161458827264	Rocking a 1996 Vancouver Grizzlies jacket and spreading coronavirus People of Vancouver are like heck no
102	1245924161546899462	MAGAT Got Nerve 2 Spew Trump Handled COVID19 W CLASS amp URGENCY TRUMP ONLY BEGAN RESPONDING 13 DAYS AGO JARE
103	1245924161676922880	After Akshay Kumar and Salman Khan it s the turn of another Bollywood heavyweight Shah Rukh Khan to put his mone
104	1245924161886830592	Coronavirus Update Littering Concerns On The Rise As People Discard Used Gloves Masks In The Streets
105	1245924163312857088	Americans urged to wear masks outside as coronavirus pandemic worsens
106	1245924163916713987	To cope with the Coronavirus lockdown writers rooms are now going virtual holding meetings over Zoom Their prod
107	1245924164634116096	Good segment on donating plasma as treatment to fight Coronavirus Wow People are Rising Up Shannon Outstan
108	1245924164684247042	Anything that you want to learn and come back upgraded after lockdownindia lockdownindia This will help you further CoronaOutbreak
109	1245924164961292288	Coronavirus Symptoms Georgia Governor Says He Just Found Out People without Symptoms Can Spread National Review
110	1245924164994646018	Karma is working so fast this time
111	1245924167549104128	The Corona Sneeze Video Re Edited By Me memes itscoronatime coronatime Corona coronavirus kingbach
112	1245924168668811272	I request all of of you to switch of all the lights of your house on April 5 at 9 pm for 9 minutes and just light
113	1245924168886935554	SelflessServiceByDSSVolunteers Dera Sacha Sauda volunteers of various blocks cities and states
114	1245924169134379008	No words
115	1245924169532837888	The outbreak of coronavirus has truly revealed the problem of CCP China No transparency
116	1245924172540203011	Chicago EMTs Help Fight COVID 19 In New York
117	1245924172838010880	Spotlight Italian literature is full of examples of humor used as forms of resilience It is still the case duri
118	1245924173567758343	Crypto Powered Internet Fills Access Gaps During Coronavirus CoinDesk via
119	1245924173567811588	ET COV FEFE Coronavirus Iron lethal to adreno chrome users
120	1245924173597179918	Special attention will be taken to establish hospitals in Colombo Kalutara amp Gampaha Districts to treat patients w
121	1245924173605515267	Never take it personally when someone does not invite you to their wedding or birthday CoronaVirus e teng bagolo Good Morning
122	1245924173999788032	They just wont stop Why such hatred
123	1245924174117269504	Had he not sent all our supply to China
124	1245924174146625536	US Checks delayed for some at 1 20th of what we re giving the corporations Japan Two masks per family don t
125	1245924174574436352	China to minimise coronavirus impact on foreign investment
126	1245924174620577793	Reposted from sistahsofine2 coronavirus regrann
127	1245924177158307840	US Navy relieves commander who reported COVID 19 outbreak aboard aircraft carrier
128	1245924177229447169	The latest The Global Health Daily Thanks to coronavirus
129	1245924177355460608	J Navarro See Sec 1102 a 1 F iii Additional Lenders
130	1245924177476857863	Im fucking devastated becouse I want go for a party get drunk or whatever corona virus is breaking everything I m
131	1245924177736912896	Thousands Of Rural Colorado Students Lacking Internet Access Struggle With Remote Learning During COVID 19 Shutdown
132	1245924177896296448	Black and Brown Americans need to take this pandemic seriously and not listen or read posts on Facebook Instagram
133	1245924178030661632	Treason
134	1245924178433200129	We are not alone PM Modi urges people to light candle on April 5 to show support fight COVID 19
135	1245924182430380032	is part of the Trump administration so they hosted the meeting
136	1245924183013330964	Kansas coronavirus update State looks for compliance in GPS data gleaned from cellphones infections at 552 with 1
137	1245924183407603713	Pelosi announces new select committee to oversee coronavirus response
138	1245924186280714250	Trump still doesn t understand the magnitude of the situation He s a moron
139	1245924186385596417	During Covid 19 One College s Virtual Chat Offers Hope for the Fall coronavirus
140	1245924186452709377	The argument in this article is mainly that we don t know how Covid 19 exactly works so who knows if masks help an
141	1245924186624626689	Experts tell White House coronavirus can spread through talking or even just breathing
142	1245924186981150727	Gun Buyers Shatter NICS Background Check Record Amid COVID 19 Panic
143	1245924187082022912	Coronavirus live updates South Korea cases top 10 000 Singapore reports fifth death
