	tweet_id	tweet_text
0	1250635754063171584	Hi Chris sorry to hear Kristina has the Coronavirus It seems that you re getting better your facial
1	1250635754348466176	GOD IS GOOD
2	1250635754725797888	But you should definitely go back to work because declines in your 401K are far worse than this
3	1250635756718174209	But is she concerned yet
4	1250635756852269056	NEW PODCAST Freedom of speech is one of our to quote Justice Carpio one of our greatest freedoms We talk Chavez
5	1250635757242462208	Meanwhile some idiots in Michigan
6	1250635757418459137	Correct
7	1250635757468999680	In short he used Brian Allen s Rams backup center medical history tested positive for coronavirus
8	1250635757640876033	You have to wonder what they re doing in MI
9	1250635760723570689	WUHAN CHINA At a large food market in the Chinese city of Wuhan signs forbid the selling of wild animals and l
10	1250635761029754880	Positive News
11	1250635761088524288	Being Indians we maintain good enough hygiene there anyway But oh there is a study detailing how coronavirus spreads thru poop
12	1250635761390686209	Root cause for the backlog for these doctors is Q hogged by cheap fake proxy h1b IT workers from India Address
13	1250635761453420544	Govt of India Need to use plasma therapy and fight back against corona
14	1250635761503866880	Oh my Did CNN just call it a Chinese lab Isn t that racist
15	1250635761956708352	Adds to the conspiracy and makes it true
16	1250635762976141313	he IS coronavirus
17	1250635764829995008	It is too soon to say They might find a treatment amp maybe a Vaccine
18	1250635765282820096	Said this weeks ago
19	1250635765534449665	Stay Home coronavirus
20	1250635765735972864	Gravitas 5 questions WHO must answer Wuhan Coronavirus via
21	1250635765920362497	How I ve been remembering these CDC guidelines TikTok comedy StayAtHome TheChallenge COVID19
22	1250635766218268672	You may have misunderstood the announcement of count totals are a sham Not everyone affe
23	1250635766297849856	Thank goddess
24	1250635766792847361	All the humans that Thanos snapped from existence didn t have to live through the Coronavirus LUCKY
25	1250635769141555200	Make this make sense
26	1250635769699381250	Terrible beyond comprehension
27	1250635770441936896	He gives the best hugs on the hardest days Another loved one lost this time courtesy of the coronavirus Third
28	1250635770739585024	The Crappler Report PH among riskiest countries to be in during coronavirus pandemic via
29	1250635770815115266	An old friend of mine just died of Covid19 We used to go to Burning Man together in the 90 s I still have a c cla
30	1250635770857164801	just made us wait an entire day a day that of which had a potential historic trade rumor swirling among
31	1250635771133992962	Obviously he doesn t take coronavirus as serious as he says Why would you give it to your family
32	1250635775118462976	The most misleading cliche about the coronavirus is that it treats us all the same It doesn t and before long thi
33	1250635775395454979	I am so sorry to hear about your Aunt Bert This is Brutal and it s serious At this horrific time we have a lead
34	1250635775483367425	A senior figure at the company behind a major NT resources project does not expect coronavirus restriction measure
35	1250635775881830400	So LA s traffic has ceased LA s trafficking has not
36	1250635776120909824	How do you spell appeal
37	1250635777249247232	Coronavirus symptoms 10 key indicators and what to do CNN WISH I DIDN T HAVE TO LOOK AT
38	1250635777425330176	if you think 5g towers are causing coronavirus you can go ahead natural selection will do its job nicely
39	1250635777446424576	this part isn t just hard it s rock solid
40	1250635778247581696	TablighiJamaat leader Maulana Saad Kandhalvi has been booked for culpable homicide after some attendees of the rel
41	1250635778763501570	Israel Shuts Palestinian Coronavirus Testing Clinic in East Jerusalem Activists arrested because kits were provid
42	1250635778771677184	Yeah and old Elvis in the front probably won t fair too well either
43	1250635781380534272	Provide quick access to the latest most accurate local information through IBM Watson Assistant for Citizens Get
44	1250635781565276160	Testing all staff PSWs seems so elementary to me LTC residents are not sauntering around the grocery stores ming
45	1250635781737197570	BRIEF Maccura Biotechnology s Coronavirus Testing Kit Receives U S FDA s Emergency Use Authorization Reuters
46	1250635781997318145	COVID 19 and African Americans JAMA JAMA Network
47	1250635782122901506	I just read that the auto protest in Michigan went right by a hospital That s ridiculous and it was
48	1250635782160875521	Andrea Bocelli s Easter concert from Italy sets a major record for classical music
49	1250635782693347329	In January World Health Organization declared a global emergency because of coronavirus That was 4 weeks before
50	1250635785851875332	Report Migrant workers faced dangerous conditions even before COVID 19 Cronkite News Arizona PBS
51	1250635785876865024	Who Should Notify OSHA of a Workplace Injury During Multi Employer COVID 19 Essential Work by attorneys
52	1250635786313256962	Love it here here s twice the evidence
53	1250635787210801153	Science says that Laura Ingram and her right wing conspiracy theorist sources are idiots
54	1250635787982405632	The Government has withheld crucial information for the discussion The Doherty Institute modelling
55	1250635789920342020	Fuck you Covid 19
56	1250635790511566850	Check out my latest article Offering Queue Pro and OSSP for maintaining social distance to ensure your customer
57	1250635791694540802	Cardi B singing Coronavirus Coronavirus That shit is real That shit is real
58	1250635794080923648	Fuk Triads n LeekarShing and Ccp WeWon YouLost
59	1250635794760466433	This piece articulates something that s been difficult for me to confront normal isn t coming back Not for a whil
60	1250635794844442624	Is there a dumber person
61	1250635795393896453	Leading and Managing Through the Coronavirus Crisis Legal Talk Network
62	1250635796341821443	The Definitive Guide To Dog Care During The COVID 19 Pandemic animalhealth healthcare
63	1250635798065459210	TOMORROW Learn more about the JobKeeper assessment process and how to calculate GST turnover in line with ATO req
64	1250635798443147264	WHO welcomes joint efforts with India to fight COVID 19
65	1250635799131029504	Headline says all It was just March 11 that W H O declared COVID 19 outbreak a global pandemic To
66	1250635799839641600	get well soon COVID19 44
67	1250635802612121601	BBC It s the end of globalisation as we know it All major economies have been hit almost at once It s done da
68	1250635803153268739	Coronavirus and Elections Changes Increase Risk of Voter Fraud via
69	1250635803715186690	Should have known that corporate greed and corruption would suck up the aid One restaurant chain got enough money
70	1250635803941761024	Fauciand Birx s fake advice resulted in near total lockdown of USA economic Armageddon published editorial in NEJ
71	1250635804331913221	This is why dems are mad at trump for cancelling WHO
72	1250635804650676229	Local businesses are starting to receive federal loans to provide relief during the COVID 19 pandemic Now the Kas
73	1250635804843507715	It s always the commies at heart of the problem commie ChinaVirus
74	1250635804881256448	method of picking our crops There are better ways to get the crop in They are not necessary It is just anoth
75	1250635806735122432	We can t allow the lockdown to slow down our life saving work for animals Will you support PETA India s emergenc
76	1250635806823329793	Dr Fauci caught on camera contradicting himself about severity of coronavirus video Must see
77	1250635807381168128	I m a proponent of capitalism but to the extent it turns is into lowing cattle I m beginning to think it works too
78	1250635807506849793	The President is an evil piece of shit and America is a wook covid19 breadlinesforcapitalism thepresidentisinsane
79	1250635808404455425	Although the COVID19 pandemic has caused disruption to businesses worldwide says its supply chain is
80	1250635808530468865	Attention The long awaited podcast from Dr Umar Johnson and Bro Michael Muhammad is now available Dr Umar di
81	1250635809205542913	I ve watched WWE since I was 12 went to the local video store and rented King of the Ring 98 Mankind Taker HIA
82	1250635809247629313	US President Donald Trump suspended funding to the World Health Organisation WHO over its alleged poor handling o
83	1250635809516118017	Benjamin Franklin s coronavirus advice would have been to socially distance and find a vaccine
84	1250635810786828288	NOW you can generate excellent profits and get FREE vacation incentives Join KANGOT Viet
85	1250635810971570178	Oh my god 4 811 deaths in one day This is tragic Just stop and think for a moment that each number is a re
86	1250635811013267461	Are you talking about the 1 7 million that every one making more than a million dollars will get
87	1250635813169348615	Coronavirus COVID 19 NHL Update March 31st Edition
88	1250635813299408896	Every day and go on TV and brag about what a wonderful job they re doing
89	1250635815547473921	Congrats
90	1250635815635554304	Who gets their mail going commando
91	1250635816180867072	The Coronavirus has ended sports at all levels from professional all they way to little league which includes yo
92	1250635816440786944	I really want to go to Bali it s only 7 hours away Hurry up coronavirus
93	1250635816520626176	stay safe norman reedus everyone really really really love
94	1250635816642031616	Tweet did not age well
95	1250635816671600641	GBP USD extends losses below 1 2500 as risk off favors US dollar GBPUSD Brexit
96	1250635816847712256	the Office of Refugee Resettlement reported 21 new cases of coronavirus among children housed at two facilities
97	1250635819238424576	Americas embarrassingly mediocre coronavirus testing in 2 charts
98	1250635819695714306	US has passed the peak on new coronavirus cases says Donald Trump
99	1250635819976732672	Be smart Be strong Be safe Michigan plz believe the governor s have mo
100	1250635820496642050	People watching Late night shows on 55 4k High Def TVs that are being produced over us with front f
101	1250635820853194754	The Digital Updates You Need To Make For Your Business Throughout COVID 19 COVID19 coronavirusaustralia fitness
102	1250635821092188161	We knew already
103	1250635823449542657	Oh how times have changed
104	1250635823491485698	Michigan has changed their state motto Eat terrible food in an environment that presents
105	1250635824095428608	Yup she really said that
106	1250635824191987713	I m guessing Dennis Miller is trending because his coronavirus infected rotting corpse was found in the woods somewhere
107	1250635825106173954	Coronavirus May Finally Bring Online Car Shopping into Mainstream
108	1250635825240473602	There is a Democrat governor he can veto And should
109	1250635825337061377	Interesting thought
110	1250635825345294336	Moradabad 25 including 13 women pelters arrested for pelting stones at medical team via OpIndia com
111	1250635825454383105	Antibody tests could be the key to reopening Italy s economy
112	1250635828281425921	Ontario COVID 19 cases by age and gender Revised to include fatality rates COVID19
113	1250635828453203968	All the more reason NOT to trust CNN and all other sinister news media organizations that have taken sides with the
114	1250635828503760902	Active smoking is not associated with severity of coronavirus disease 2019 COVID 19
115	1250635828742615041	When I see coronavirus spreading in some countries that Chinese did not travel there a lot I wander how the virus
