	tweet_id	tweet_text
0	1249548672607703040	There s before coronavirus and there s after Doesn t necessarily mean one is better or worse but
1	1249548673597374464	Israel s Not So Secret Weapon in Coronavirus Fight The Spies of Mossad breakingnews
2	1249548673811230720	China is a murderer who is a lair WuhanVirus nnevvy StayHome
3	1249548677313675265	You had a weird illness That s all on you psychosomatic
4	1249548677607075841	Apparently the nimbu mirchi thing didn t work
5	1249548678206906368	Blackburn China Part of the New Axis of Evil Coronavirus WuhanVirus Malaysia StayAtHome ChinaVirus
6	1249548679494676481	You gotta stay positive Not like positive for Coronavirus positive But like positive mentally
7	1249548679574212608	Did this bih really say that the city can t test everyone because they re LOW ON SWABS lol
8	1249548680832544769	Not a statistic to be proud of
9	1249548681671348224	These resources are fantastic Thank you
10	1249548682736910338	FOX NEWS Impact of COVID 19 shutdowns on the economy and public health
11	1249548682795446272	This was a ticking time bomb and it s going to get worst if funds to ease hunger is not released hungry is more
12	1249548683474923521	Support Marisa by signing Support the USPS and I ll deliver a copy to your officials too
13	1249548684473192448	Pelosi holds the knife The truth watch your back trust no RINO TRUST NO ONE Believe only half of what
14	1249548685438078976	21 passengers who travelled with COVID 19 patient asked to surrender to police or risk arrest
15	1249548685861478402	Empty eh
16	1249548775313506305	Hope everyone who celebrated Easter had a meaningful amp relaxing day Hope today was healing both physically psych
17	1249548775682494464	US records 1 514 coronavirus deaths in past 24 hours report
18	1249548776924045317	Support Ryan by signing Support the USPS and I ll deliver a copy to your officials too
19	1249548777075154944	Coronavirus pandemic Gold holds near one month peak as COVID 19 worries deepen visit to
20	1249548777230184448	Wow powerful work on the myth of America
21	1249548778014560257	Together we can make a difference Imfashanyo COVID19 Rwanda
22	1249548778094366721	Some interesting reading on Covid 19 Part 1
23	1249548781416091649	Seven 9 11s More than five of those 9 11s just in the past twelve days Eighteen more days left this month
24	1249548781697277952	To all this desis also saying they had Covid19 last year in Nov Dec No No you did not
25	1249548781898457088	30 Day Challenge app
26	1249548782452211712	China stifles coronavirus research in apparent bid to control narrative analysts say
27	1249548782959656960	rob Absolutely Rob I see so many pictures of COVID19 response where transit workers are not wearing masks
28	1249548783488102400	Coronavirus lockdown Delhi based fashion designer Manish Tripathi designs khadi face mask to fight COVID 19
29	1249548787040677888	Monday s cover by Shy Hardiman Amid coronavirus pandemic Christians celebrate Easter like no other
30	1249548787342667777	This tweet didn t age well Dixit
31	1249548788206886912	Police are doing an incredible job ensuring people stay home amp maintain Social distancing norms coronavirus
32	1249548790035386374	coronavirus COVID19 USA One more loss A cousin An essential worker Rest In Peace
33	1249548790064910336	They all got Covid19 Its air born amp highly contagious They all lied
34	1249548790194937858	The great geopolitical question facing the world is whether the West can rise to the challenge and rethink th
35	1249548790228561920	Is Protocol Driven COVID 19 Ventilation Doing More Harm Than Good via All the dr
36	1249548790337613826	With Covid19 could possibly have a rubber band effect to the economy and those companies flexible towar
37	1249548790694117376	hard No That graph is wrong
38	1249548791264374784	SF Bay Area housing was softening before coronavirus
39	1249548791860146181	The latest The Child Care and Beyond Daily coronavirus covid19
40	1249548792614883329	HOW COVID19 KILLS I m a Surgeon And Why We Can t Save You via
41	1249548794737418240	What an utterly stupid response if the hospitals are goi
42	1249548796239007744	Global numbers The world has 1 315 283 active cases of the Coronavirus and 114 247 deaths CoronavirusPandemic COVID19
43	1249548796427632641	Wuhan lab was performing experiments on bats from coronavirus caves via
44	1249548798382223360	There is almost no possibility of containing the virus before July Coronavirus that causes Covid 19 can produc
45	1249548798700879872	com No reason to when you have this choice on TV
46	1249548798776336386	Hell yes I ll take this as my new self love anthem
47	1249548799120474117	Florida Police chief is suspended for saying cop who died from coronavirus contracted it because he s a homosexua
48	1249548799539904513	Lavalli County Adds Two More Cases for COVID 19 Nationwide
49	1249548799913209856	Ugh this Coronavirus is messing everything up It s been to long
50	1249548800106127360	Horrible This sh t is so real COVID19
51	1249548800319991808	Shortly after reading your tweet I come to this one
52	1249548802211495937	Heroes Coronavirus The NHS nurses praised by Boris Johnson for standing at my bedside for 48 hours
53	1249548802458963968	Tamil Nadu Trichy coronavirus patient spits at nurse booked by police via
54	1249548802677075975	Where German Chancellor Angela Merkel had success in fight the co
55	1249548802849042432	Trump Asked Fauci Why Health Officials Couldn t Simply Let Coronavirus Wash Over the Count
56	1249548803092307970	Crozier is a leader Our leaders could learn from him
57	1249548803507552256	WHAT THE HELL MISS EVERYTHING ISLAND PRINCESS QUEEN OF EVERYTHING INCLUSIVE ICON AND NOW AN ANGELIC SINGER MY
58	1249548803683704832	India is it true news published by Outlook
59	1249548803964833792	SAUNA amp STEAMS get lock off JAMMY are those who be owning a private gym or knowing a gym manger which I don t
60	1249548804250054656	WATCH THE PROPAGANDA Crisis Actors Behind the COVID 19 PsyOp Exposed Video
61	1249548804367491080	Can we continue the lawsuits I just want to laugh in hannity s face and all at fox who perpetuated this
62	1249548807034916864	And now Trump isn t ready and is not preparing us for a Pandemic now COVID19
63	1249548807655874560	Tom Hanks joined the cast of SNL to host the first at home episode of the hilarious sketch show lightening the m
64	1249548808624590849	Qantas employees quarantined in coronavirus cluster via
65	1249548811556421633	Accused flees from Jashore coronavirus isolation unit 475644
66	1249548812357709826	Maybe someone should check whether Hillary still goes on her forest walks It s the only thing government won t let
67	1249548813150420993	This is what Chinese are doing to African in China Is it true that CoronaVirus came from Black people Time to do
68	1249548815985602561	How well did people abide by travel and gathering rules this Easter weekend Here s a state by state breakdown
69	1249548816652668929	Of course would do this Not only are they crooks case in point below they are the bad kind of capita
70	1249548816925233154	China stifles coronavirus research in apparent bid to control narrative analysts say
71	1249548817092886528	Coronavirus has caused hunger poverty and fear I hear it from friends and people all around the d
72	1249548817483128832	Whew this shit is not funny my grandpa is a bus driver and has been for over 45 years I triple dog someone to spi
73	1249548819638992896	Covid 19 coronavirus Ardern to reveal level 3 rules this week
74	1249548820020490243	If Australia eliminates Covid19 how do we coexist with the rest of the world auspol
75	1249548820964192259	Social distancing not only reduces transmission of the coronavirus but the vacating of public places also creates
76	1249548821207474176	I have seen it nothing but chest thumping How you became such a boring politivian Aply mind make democracy to s
77	1249548823367749634	This
78	1249548824776806400	So true sir We could have saved so many lives and money Being imaginatively intelligent matters a lot for one
79	1249548828430282752	You could probably cut down on crime and Covid 19 if you shuttered Big Ben for a few months
80	1249548828501364738	With 35 year old male from coastal town Khambhat testing positive Anand records its ninth COVID19 case
81	1249548829247959045	Tell that to this kid
82	1249548830074339329	COVID19 predicting traveler itineraries amp connections out of Wuhan 2nd half of January 2020
83	1249548830099435521	If Trump had only paid attention to the warnings
84	1249548832607625227	Google Doodle series will thank coronavirus helpers over the next two weeks Updated via
85	1249548834038054913	SA s confirmed Covid 19 cases rise to 2173
86	1249548834763571200	Save our Post Offices This is so ridiculous that we have to address it USPS or USPostalService is such a vital
87	1249548834889293824	Arresting aboriginal people when they should be finding them a place to stay
88	1249548836156162050	Just finished watching the latest Westworld Amazing Then I switch to CNN and COVID19 coverage It seems just
89	1249548836604960768	Coronavirus COVID 19 Oil firmer on OPEC deal equities unable to shake pandemic fears
90	1249548837494161408	my goodness
91	1249548837548679168	And to those doubling down in their condemnation of DJT there s this
92	1249548838102126593	POTUS bit about opened up and just raring to go by Easter because it s a beautiful time was the wors
93	1249548838567923712	We are fighting the virus through accurate and timely information dissemination
94	1249548840354615296	How to Adapt Your Marketing During the Coronavirus
95	1249548841713451009	an expert
96	1249548844305612800	UK Government and Video Games Industry Fight Against Coronavirus
97	1249548844662050816	Covid 19 is cure all the people in the world God blessed
98	1249548845295558656	The big corps have collected big to make their RPhs incorporate it into their work flow I don t know why some i
99	1249548845576359937	Bonito and coronavirus a deadly combo rip all the poor souls ranking this gw if you are i ll be cheering for you
100	1249548846243381250	Yup the hours are counting down
101	1249548846289637376	Six people shot at California house party during coronavirus lockdown
102	1249548846847471621	Love the Thunderbirds but uhhhhh read the room
103	1249548847073783809	Did 60 minutes just expose s incompetence in a way we ALL finally understand YES TH
104	1249548848785129472	UK Government and Video Games Industry Fight Against Coronavirus has been published on YGD
105	1249548848818765824	Adapting Small Business to COVID 19 FourTen Creative Digital Marketing
106	1249548850613743617	No blame No discrimination What we ought to do as human being is working together to fight against the virus
107	1249548850928312321	Bay Area comedian amp TV personality is helping to raise funds for communities of color to deal w
108	1249548852752982018	Why until now most hospitals and owners of those hospital are all secretive in how many p
109	1249548852887195650	What else can we do to support hospitalized COVID19 patients who are in isolation 1 and have a NATIONAL impact
110	1249548853029855240	UK Government and Video Games Industry Fight Against Coronavirus
111	1249548853361233920	Numbers don t line up Case for panicking over coronavirus is falling apart Opinion LifeSite
112	1249548854187511809	Bernie is out Shut the fuck out about it all COVID19
113	1249548854237822978	New Article COVID 19 Shutdown The End Of Globalization And Planned Obsolescence Enter Multipolarity
114	1249548854896320512	Pence
115	1249548857077161984	awittt
116	1249548857408512000	Thats right
117	1249548857815506944	The more COVID 19 truth is verified the more MSM outright lying is exposed Video
118	1249548857878478849	Everyone go watch Five Feet Apart cause not only is that movie super emotional but they fall in love staying five f
119	1249548858020913152	which china oh The only China
120	1249548858905874432	Please help
121	1249548858985603077	Delhi govt to sanitise city s red orange zones from Monday
122	1249548859220668417	Former FDA Commissioner China Was Not Truthful With the World Download The Epoch Times
123	1249548859581304832	What if you don t have laundry in your home
124	1249548861980520449	Shit Coronavirus got until May After that it s above me
125	1249548862303412226	From 60 Minutes Fed official uncertain how economy will fare during the coronavirus crisis
126	1249548862672343040	Remember when this was Italy I just don t get it Yes walk for exercise go buy food or like many go to food lines
127	1249548862903246848	China stifles coronavirus research in apparent bid to control narrative analysts say FoxNews
128	1249548863196639232	I m sure my wife would Ashley
129	1249548864929103872	Per AG Barr s memo dated 3
130	1249548865780490240	Wilcox There s some doubt about that jogging study
131	1249548866225135617	Super interesting blog gives me hope Pres Pelosi Could it happen if Trump tries to pull a fast one Electio
132	1249548866606825479	Israel wasted no time with coronavirus They put their spy agency in charge of finding and acquiring all needed m
133	1249548866774388736	Donald Trump Refused To Sign Coronavirus Relief Package If It Contained U S Postal Service Aid Report Claims
134	1249548866774396929	Our garbage media propagandists that howled for 3 years about foreign interferen
135	1249548867231797248	Is there a reason why Africans are being treated like this in China AfricanUnion
136	1249548867818971136	Despite the threat posed by COVID19 UNHAS is continuing its vital work to deliver essential assistance to so
137	1249548868108185602	The Union Health Ministry INDIA said India is preparing for a possible exponential surge in Covid19
138	1249548870108889089	Let s focus on what we can do for workers GeneralStrike GeneralStrikeFundForWorkers
139	1249548870780157952	Isn t it funny how all the people who have died from the Coronavirus have either been M
140	1249548870859788290	It is soo sad for the man who died is siaya as a result of covid 19 being buried as a dog at 2am The dead must be
141	1249548871149051904	How unreal is that SeaAngel
142	1249548871509741569	So heartbreaking
143	1249548873594478594	A complete failure of their mission vision and value proposition
144	1249548873963634690	hikers
145	1249548874156371969	Next to health care providers no workforce has proved more essential during the novel coronavirus pandemic than th
146	1249548874307403778	This is so sad
147	1249548875007807488	In this thread gt gt gt Go Cayetano Duque and Roque Juskolord
148	1249548875209334785	How is it possible that most of his followers still believe In most of the arguments over his lie
149	1249548875226103814	Qantas staff consider class action alleging airline failed to protect them against Covid 19
150	1249548875754614784	HAAAAA fuck Taurus lol I m sorry but covid 19 said fuckkkkkk y all too
151	1249548878094860295	Crypto is Feeling the Impact of Coronavirus But Should We Be Panicking CryptoGlobe
152	1249548878245801985	Demand that Secretary Azar protect abortion as essential healthcare
153	1249548879273422848	Coronavirus in India live news updates Total number of corona cases in India rises to 9188 deaths surge past 300
154	1249548879433007106	Plzzzzz retweet this is called social distancing plz stay home stay safe
155	1249548879743287296	WomeninMedicine MedTwitter COVID19 AMWA leaders Dr Saralyn Mark and quoted
156	1249548880464642054	A helpful article on screentime guidelines for kids during COVID 19
157	1249548880666075143	Kentucky Church Packed for Easter Service Cops Waiting in Parking Lot
158	1249548882272374784	Search For Coronavirus Cases In Your Neighborhood By Zip Code
159	1249548882402398209	Two graphics from today s report
160	1249548882465472515	Your MP went missing immediately after COVID 19 first case That s the kind of coward leader you elected
161	1249548882494668802	Should be our theme song onlywhenilaugh covid19
162	1249548882498981893	News IDOLiSH7 Anime s 2nd Season Delayed After 4th Episode Due to Coronavirus Disease COVID 19
163	1249548882540969985	And thus ends one of the strangest Easters ever covid19
164	1249548882914217986	Breaking Covid19 can be spread through farts
165	1249548883014774786	Chinese yet Significant
166	1249548883044077569	Minneapolis Fed Chief Fears 18 Months Of Rolling Shutdowns In COVID 19 Fight
167	1249548883325325313	New Orleans pastor recovers from COVID 19 to preach Easter Sunday
168	1249548883404845058	Minneapolis Fed Chief Fears 18 Months Of Rolling Shutdowns In COVID 19 Fight
169	1249548883522236416	COVID 19 and Gold What Happened amp How Did the Market React Finance Magnates
170	1249548883623129088	Check this out A way to help
171	1249548883916541954	Historically you started all the wars such as in the Middle East Africa North Korea and so on So the conclusio
172	1249548884415623168	blueeyes 1776 daffy
173	1249548884508016643	Options for Coronavirus alternative working capital loans Coronavirus COVID 19 SARS CoV
174	1249548884881354755	Coronavirus What ails the Indian supply chain why we are in trouble and how to fix it
175	1249548886676406273	Important thread from an investigative reporter
176	1249548887326687233	COVID19 or no COVID19 we go release AnlogaJunction
177	1249548887381049345	Coronavirus Shutdown The End of Globalization and Planned Obsolescence Enter Multipolarity
178	1249548887666221061	Can we fast forward to the timeline in which there is a social impact NYFW collection about coronavirus where all
179	1249548887670444032	Better covid19 than a sanghi
180	1249548888031121409	Egypt s Ministry of Tourism and Antiquities Launches Virtual Tours on Social Media Amid Coronavirus Lockdown
181	1249548888194928640	Lisa Ray gives a glimpse into life in Singapore amid Covid 19 crisis Don t be married to perceptions of normal as
182	1249548888903688192	An eye for an eye a tooth for a tooth
183	1249548888907735041	Does he live on Bernie s street
184	1249548888966598657	No That graph is wrong
185	1249548890443046912	550 crew members of the USS Theodore Roosevelt have tested positive for Covid 19
186	1249548891063611392	Sorry for the spam sir it s been a few weeks me and my family can only stay at home My family ar
187	1249548891332079616	Some more magic out of Gapuwiyak Culture and Arts Tony Cameron and Penny Milingu made this COVID19
188	1249548895014858753	Good
189	1249548895450836992	COVID 19 and Cybersecurity Combating Zoombombing and Securing Your Remote Working Videoconferences
190	1249548896377995264	My hubby amp I feel so blessed to have survived and recovered from COVID19 gratitude survivor2020 coronavirus
191	1249548899246919681	me too I am tired of fake shit
192	1249548900165279744	Hats off to Korea The majority of new coronavirus cases are being imported now and are quarantined which means th
193	1249548900421304322	Trump retweets threat to fire Fauci who said US virus response cost lives
194	1249548900429692928	Good luck getting the Senate to agree amp pass that the worker matters It is the malignant mindset Of the wealthy
195	1249548900521742337	BINGO Laurence Tribe only time will tell I believe you are correct
196	1249548900555313152	Sign The Pledge Boycott China over their handling of coronavirus
197	1249548903432589312	wuhanvirus ccp chinese chinesefood china CCPLiedPeopleDied it s a fact that chinese ppl
198	1249548904422682625	Two of my husbands employees have tested positive for covid 19 His boss told him to monitor if he has any symptoms That s it coronavirus
199	1249548904439451650	YOOOOOO I either say rona or this
200	1249548904925786113	DemocratsAreDestroyingAmerica DemocratsHateAmerica FauciFraud TheGreatAwakening ObamaVirus
201	1249548905848553472	
202	1249548909245939713	StayHome StayHealthy glutenfree foods are in demand Come HundredMachinery for free test run after COVID19
203	1249548909678071810	I wanna book a tour when this is over
204	1249548910043058177	Yo i know bad bunny is that guy but we need to wish whoever gonna come up with the mf coronavirus cure a great day
205	1249548910932221956	I hardly ever go away on holiday either Steve I hate the packing unpacking queuing at airports I was perfe
206	1249548911687217152	Wow As trump tweets what a great job he s done over 22 000 Americans have lost their lives How many will die b
207	1249548912651730944	Next to health care providers no workforce has proved more essential during the novel coronavirus pandemic than th
208	1249548912702054400	Want to know if a math series converge Take another series which converges If term by term of the convergent seri
209	1249548913092091907	Hello COVID19 or CORONA I want 2 reach out amp say well done thus far I understand Democracy is huge
210	1249548913893429251	Every death is devastating
211	1249548914283417602	Winning Highest death count in the world COVID19
212	1249548915646464001	This wanna be tough guy recording his jackass behavior towards two police officers needs his teeth kicked in
213	1249548915843534848	SA s coronavirus hotline is set to be bolstered as 850 new staff enter training this week via
214	1249548916414169088	Because she is a liar Thesaurus what she does best
215	1249548917663870976	FFS 60mins investigative journos can t find out what is happening Sweden do your research Their medicos screa
216	1249548919962587136	The Coronavirus Class Divide Space and Privacy
217	1249548921073852417	That s the cure for Covid19 right there alert WHO
218	1249548921526943745	Day 27 COVID 19 has entered my grandparents nursing home to say I m terrified is an understatement
219	1249548921568804864	This is incredible How did this happen Thank you Greta
220	1249548922256674821	In short even if ECQ is lifted on the 30th we re going to have to accept a NEW normal for the entire year And whe
221	1249548924995559426	Ive always known that Everything has a reason and i haven t stop keeping faith on that early on january ive known t
222	1249548926484545538	Support Marisol by signing Support the USPS and I ll deliver a copy to your officials too
223	1249548926597750784	is all op ed LOL And oh those Dems have short memories
224	1249548928388751362	Next destination after outbreak is YOU StandWithHongKong StandWithTaiwan
225	1249548929114333184	Covid19 How Kerala fought the deadly virus coronavirus
226	1249548929265471491	Rest In Peace Anthony
227	1249548929424920579	Weeks before the coronavirus spread through much of the world parts of Africa were already threatened by another
228	1249548929508794368	What s the worst thing China has ever done excluding the coronavirus
229	1249548930532114433	I m convinced no one in Woodsboro has COVID 19 because of the water
230	1249548932897783808	Happy Bihu sir Due to your untiring efforts Assam has been able to keep covid 19 cases in check God bless you sir
231	1249548933304586242	Georgia man arrested for 750 million coronavirus face mask scam New York Daily News
232	1249548934990761985	A physician s letter to coronavirus drugeur
233	1249548934999085058	coronavirus NOT on shownu s watch
234	1249548936781668352	Spread the love heal the hurt show how you care for carers work spread the love heal the pain one day we wi
235	1249548936802697216	Reducing Incarceration A link to my blog Click Here Above CriminalJusticeReform
236	1249548937062572032	But didn t the mayor shut it down I m confused
237	1249548938102759424	I am sorry that you feel this way Furthemore our call center and field services are working with l
238	1249548938539159552	Really it doesn t matter though Most Americans would vote for the COVID19 before they would vo
239	1249548938811588608	I just told that reproductive freedom is for body everywhere Join me AbortionIsEssential
240	1249548939218563073	Healthy lives
241	1249548939486953478	corsi The CoronaVirus created a Perfect Storm to initiate arr
242	1249548941777145863	HOW COVID 19 KILLS I m a Surgeon And Why We Can t Save You via
